Date,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,,610.5,603.75,598.5,593.75,589.5,585.75,582.5,579.75,577.5,574.25,570.5,,,,,,,,,,,,,,,,,,
2024-01-03,,623.0,617.0,611.75,607.25,603.5,600.0,596.75,594.0,591.75,588.75,585.25,,,,,,,,,,,,,,,,,,
2024-01-04,,606.0,601.0,596.25,592.0,588.25,585.25,582.5,580.0,577.75,575.0,571.75,,,,,,,,,,,,,,,,,,
2024-01-05,,621.25,616.25,611.5,607.25,603.5,600.5,597.75,595.25,593.0,590.25,587.0,,,,,,,,,,,,,,,,,,
2024-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-08,,601.0,595.0,590.0,585.5,581.75,578.5,575.75,573.25,571.0,568.0,564.5,,,,,,,,,,,,,,,,,,
2024-01-09,,616.75,609.75,603.75,598.5,594.25,591.0,588.0,585.5,583.25,580.25,576.75,,,,,,,,,,,,,,,,,,
2024-01-10,,615.16,608.16,602.16,596.91,592.66,589.41,586.41,583.91,581.66,578.66,575.16,,,,,,,,,,,,,,,,,,
2024-01-11,,626.0,619.75,613.5,608.5,604.0,601.0,598.25,595.75,593.5,590.75,587.75,,,,,,,,,,,,,,,,,,
2024-01-12,,624.75,619.25,613.5,608.5,604.0,601.0,598.25,595.75,593.5,590.75,587.75,,,,,,,,,,,,,,,,,,
2024-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-15,,623.75,617.25,610.5,605.25,600.75,597.25,594.0,591.5,589.5,586.5,583.0,,,,,,,,,,,,,,,,,,
2024-01-16,,626.25,619.25,612.75,607.25,602.25,598.75,595.5,592.75,590.5,587.75,584.25,,,,,,,,,,,,,,,,,,
2024-01-17,,615.25,609.75,603.75,598.25,593.5,590.0,587.0,584.5,582.0,579.25,576.25,,,,,,,,,,,,,,,,,,
2024-01-18,,620.5,616.5,611.75,607.0,602.5,599.0,595.75,593.0,590.25,587.5,584.75,,,,,,,,,,,,,,,,,,
2024-01-19,,619.25,615.5,611.0,606.5,602.0,598.5,595.25,592.75,590.0,587.25,584.5,,,,,,,,,,,,,,,,,,
2024-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-22,,634.0,628.0,621.75,616.0,611.0,607.5,604.0,601.5,598.75,596.0,593.25,,,,,,,,,,,,,,,,,,
2024-01-23,,635.0,629.0,623.0,617.75,612.75,609.5,606.5,603.5,600.75,598.0,595.25,,,,,,,,,,,,,,,,,,
2024-01-24,,636.38,630.38,624.13,618.63,613.63,610.13,607.13,604.38,601.88,598.63,595.88,,,,,,,,,,,,,,,,,,
2024-01-25,,650.75,642.5,634.25,627.5,621.75,617.0,613.0,609.75,606.75,603.5,600.5,,,,,,,,,,,,,,,,,,
2024-01-26,,658.75,649.5,641.0,634.0,627.75,622.75,618.75,615.25,612.25,609.0,606.0,,,,,,,,,,,,,,,,,,
2024-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-29,,668.0,657.5,648.25,640.25,633.75,628.25,623.75,620.0,616.5,612.75,608.5,,,,,,,,,,,,,,,,,,
2024-01-30,,660.25,651.0,642.75,635.5,629.25,624.5,620.75,617.5,614.25,611.0,607.0,,,,,,,,,,,,,,,,,,
2024-01-31,,646.28,638.28,630.78,624.28,618.53,613.78,610.28,606.78,603.53,600.28,596.53,,,,,,,,,,,,,,,,,,
2024-02-01,,,635.0,627.25,620.75,615.0,610.0,606.5,603.5,600.5,597.25,593.5,,,,,,,,,,,,,,,,,,
2024-02-02,,,607.75,600.25,594.0,588.25,584.25,580.75,578.0,575.25,572.0,568.5,,,,,,,,,,,,,,,,,,
2024-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-05,,,610.75,602.25,595.5,589.25,584.5,581.25,578.75,576.52,573.52,570.02,,,,,,,,,,,,,,,,,,
2024-02-06,,,623.0,614.0,607.0,600.75,595.75,592.5,589.75,587.0,584.0,580.5,,,,,,,,,,,,,,,,,,
2024-02-07,,,629.5,619.5,611.5,604.5,599.25,595.0,591.5,589.0,585.75,582.0,,,,,,,,,,,,,,,,,,
2024-02-08,,,646.75,636.25,627.25,619.5,613.5,609.0,605.5,603.0,600.0,596.5,,,,,,,,,,,,,,,,,,
2024-02-09,,,656.0,643.75,633.5,624.5,617.5,613.0,609.25,606.5,603.25,599.5,,,,,,,,,,,,,,,,,,
2024-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-12,,,661.0,650.0,640.0,631.75,625.0,620.25,616.75,614.0,610.5,606.5,,,,,,,,,,,,,,,,,,
2024-02-13,,,668.25,656.5,646.5,638.25,631.75,626.75,623.25,620.25,617.0,613.0,,,,,,,,,,,,,,,,,,
2024-02-14,,,656.68,646.18,637.18,629.18,622.93,617.68,613.93,610.93,607.68,603.68,,,,,,,,,,,,,,,,,,
2024-02-15,,,660.0,649.25,640.75,633.5,627.25,622.75,620.0,617.5,614.0,610.25,,,,,,,,,,,,,,,,,,
2024-02-16,,,657.75,649.5,642.25,635.5,629.75,625.0,622.25,619.75,616.25,612.5,,,,,,,,,,,,,,,,,,
2024-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-19,,,651.75,644.75,638.75,633.0,627.25,623.0,620.0,617.5,614.0,610.0,,,,,,,,,,,,,,,,,,
2024-02-20,,,646.0,637.75,631.0,624.5,618.75,614.25,610.75,608.0,604.25,600.25,,,,,,,,,,,,,,,,,,
2024-02-21,,,654.12,645.37,638.62,632.12,626.12,621.37,617.62,614.87,611.87,607.87,,,,,,,,,,,,,,,,,,
2024-02-22,,,659.5,648.75,640.5,633.25,627.0,621.75,617.75,614.75,611.5,608.0,,,,,,,,,,,,,,,,,,
2024-02-23,,,659.0,647.0,637.75,630.25,624.0,618.75,614.75,612.0,608.75,605.0,,,,,,,,,,,,,,,,,,
2024-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-26,,,656.75,645.25,636.0,628.75,622.75,617.5,613.75,610.25,607.0,603.25,,,,,,,,,,,,,,,,,,
2024-02-27,,,665.75,653.0,643.25,635.75,629.5,624.5,620.75,618.0,614.75,610.75,,,,,,,,,,,,,,,,,,
2024-02-28,,,672.76,657.76,646.26,637.51,630.26,624.76,620.26,617.01,614.01,610.51,,,,,,,,,,,,,,,,,,
2024-02-29,,,681.25,664.75,652.75,643.25,635.75,630.0,625.5,621.75,618.25,614.0,,,,,,,,,,,,,,,,,,
2024-03-01,,,,674.25,662.25,652.25,644.5,638.25,633.5,630.25,626.5,622.25,,,,,,,,,,,,,,,,,,
2024-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04,,,,671.25,659.0,649.25,642.0,636.0,631.25,628.0,624.0,619.75,,,,,,,,,,,,,,,,,,
2024-03-05,,,,659.5,650.0,642.0,635.25,630.0,625.75,622.75,618.75,614.5,,,,,,,,,,,,,,,,,,
2024-03-06,,,,667.3,655.8,646.8,639.3,633.3,628.55,625.3,620.8,616.55,,,,,,,,,,,,,,,,,,
