model,threshold,cost_per_turn,total_return,avg_daily_return,daily_return_std,annualized_sharpe,hit_rate_active_days,active_day_pct,turnover,max_drawdown
RandomForest,0.5,0.0,247.5,0.9375,5.598538347532138,2.658256530706543,0.5806451612903226,0.23484848484848486,15.0,33.5
ElasticNet,0.5,0.0,146.25,0.5539772727272727,3.709461859537345,2.3707257027319417,0.6896551724137931,0.10984848484848485,9.0,15.75
MeanReversion20,0.5,0.0,57.75,0.21875,8.174917682724285,0.4247808639236415,0.43829787234042555,0.8901515151515151,43.0,76.5
XGBoost,0.5,0.0,57.5,0.2178030303030303,8.072992368346743,0.42828182662788267,0.5571428571428572,0.26515151515151514,25.0,110.75
ZeroChange,0.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
RandomForest,0.5,0.05,246.75,0.9346590909090909,5.596985920916052,2.650936289759078,0.5806451612903226,0.23484848484848486,15.0,33.55
ElasticNet,0.5,0.05,145.8,0.5522727272727274,3.708399881781304,2.364107979981657,0.6896551724137931,0.10984848484848485,9.0,15.75
XGBoost,0.5,0.05,56.25,0.21306818181818182,8.073467678698393,0.4189466859790442,0.5571428571428572,0.26515151515151514,25.0,110.75
MeanReversion20,0.5,0.05,55.59999999999997,0.2106060606060605,8.176821987453849,0.40887126697017007,0.43829787234042555,0.8901515151515151,43.0,76.69999999999999
ZeroChange,0.5,0.05,0.0,0.0,0.0,,,0.0,0.0,0.0
RandomForest,0.5,0.1,246.00000000000003,0.9318181818181819,5.595470546219398,2.643594481488254,0.5806451612903226,0.23484848484848486,15.0,33.6
ElasticNet,0.5,0.1,145.35000000000002,0.5505681818181819,3.7073598048508813,2.3574725393040072,0.6896551724137931,0.10984848484848485,9.0,15.75
XGBoost,0.5,0.1,55.0,0.20833333333333334,8.073981234793527,0.4096107041441882,0.5571428571428572,0.26515151515151514,25.0,110.75
MeanReversion20,0.5,0.1,53.44999999999999,0.20246212121212118,8.17878605212558,0.3929662073740204,0.43829787234042555,0.8901515151515151,43.0,76.89999999999998
ZeroChange,0.5,0.1,0.0,0.0,0.0,,,0.0,0.0,0.0
RandomForest,0.5,0.25,243.75,0.9232954545454546,5.591147031229623,2.621440801738011,0.5806451612903226,0.23484848484848486,15.0,33.75
ElasticNet,0.5,0.25,144.0,0.5454545454545454,3.7043711615440666,2.337460825325567,0.6896551724137931,0.10984848484848485,9.0,15.75
XGBoost,0.5,0.25,51.25,0.19412878787878787,8.07575130185881,0.3815990432450262,0.5571428571428572,0.26515151515151514,25.0,110.75
MeanReversion20,0.5,0.25,47.0,0.17803030303030304,8.185036369052863,0.3452817212389409,0.43829787234042555,0.8901515151515151,43.0,77.5
ZeroChange,0.5,0.25,0.0,0.0,0.0,,,0.0,0.0,0.0
