initial_raw_feature_count,after_lag_compression_count,final_feature_count,feature,family,lag,kept_after_lag_compression,lag_compression_reason,missing_rate_train,unique_values_train,kept_after_correlation_prune,correlated_with,correlation_threshold
179,51,31,ortho_coef_0,ortho_coef_0,,True,not_lag_feature,0.0,749.0,True,,0.95
179,51,31,ortho_coef_1,ortho_coef_1,,True,not_lag_feature,0.0,781.0,True,,0.95
179,51,31,ortho_coef_2,ortho_coef_2,,True,not_lag_feature,0.0,782.0,True,,0.95
179,51,31,ortho_coef_3,ortho_coef_3,,True,not_lag_feature,0.0,783.0,True,,0.95
179,51,31,VPR,VPR,,True,not_lag_feature,0.0,783.0,True,,0.95
179,51,31,Topping,Topping,,True,not_lag_feature,0.0,783.0,True,,0.95
179,51,31,Complex,Complex,,True,not_lag_feature,0.0,783.0,False,Bayernoil,0.95
179,51,31,Bayernoil,Bayernoil,,True,not_lag_feature,0.0,783.0,True,,0.95
179,51,31,OSN,OSN,,True,not_lag_feature,0.0,59.0,False,70 min,0.95
179,51,31,pipe,pipe,,True,not_lag_feature,0.0,61.0,False,70 min,0.95
179,51,31,70 min,70 min,,True,not_lag_feature,0.0,64.0,True,,0.95
179,51,31,sweet 80,sweet 80,,True,not_lag_feature,0.0,78.0,True,,0.95
179,51,31,hvn,hvn,,True,not_lag_feature,0.0,100.0,True,,0.95
179,51,31,HS hvn,HS hvn,,True,not_lag_feature,0.0,89.0,True,,0.95
179,51,31,lavera,lavera,,True,not_lag_feature,0.0,56.0,True,,0.95
179,51,31,CASH_DIFF,CASH_DIFF,,True,not_lag_feature,0.0,198.0,True,,0.95
179,51,31,CASH_DIFF_lag_1,CASH_DIFF,1.0,True,kept_lag,0.0,199.0,True,,0.95
179,51,31,CASH_DIFF_lag_2,CASH_DIFF,2.0,False,dropped_lag,,,,,
179,51,31,CASH_DIFF_lag_3,CASH_DIFF,3.0,False,dropped_lag,,,,,
179,51,31,CASH_DIFF_lag_4,CASH_DIFF,4.0,False,dropped_lag,,,,,
179,51,31,CASH_DIFF_lag_5,CASH_DIFF,5.0,True,kept_lag,0.0,199.0,True,,0.95
179,51,31,CASH_DIFF_lag_6,CASH_DIFF,6.0,False,dropped_lag,,,,,
179,51,31,CASH_DIFF_lag_7,CASH_DIFF,7.0,False,dropped_lag,,,,,
179,51,31,CASH_DIFF_lag_8,CASH_DIFF,8.0,False,dropped_lag,,,,,
179,51,31,CASH_DIFF_lag_9,CASH_DIFF,9.0,False,dropped_lag,,,,,
